nohup: ignoring input
wandb: Currently logged in as: omarb (use `wandb login --relogin` to force relogin)
wandb: Tracking run with wandb version 0.12.7
wandb: Syncing run run_id=1000
wandb:  View project at https://wandb.ai/omarb/sa2c
wandb:  View run at https://wandb.ai/omarb/sa2c/runs/2o15r61p
wandb: Run data is saved locally in /home/omar/OneDrive/Documents/USU/Classes/fall_21/CS_6640/pytorch-sac-main/wandb/run-20211215_101232-2o15r61p
wandb: Run `wandb offline` to turn off syncing.

/home/omar/OneDrive/Documents/USU/Classes/fall_21/CS_6640/pytorch-sac-main/replay_buffer.py:25: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  /opt/conda/conda-bld/pytorch_1634272128894/work/torch/csrc/utils/tensor_new.cpp:201.)
  s  = torch.tensor(batch.s, dtype  = torch.float).view(batch_size, -1)
/home/omar/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/torch/autograd/__init__.py:154: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 10010). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at  /opt/conda/conda-bld/pytorch_1634272128894/work/c10/cuda/CUDAFunctions.cpp:112.)
  Variable._execution_engine.run_backward(
Episode    0 | Return -1386.808 | Updates  137 | Remaining time  0.54 hours
Episode    1 | Return -1606.751 | Updates  200 | Remaining time  0.62 hours
Episode    2 | Return -1388.417 | Updates  200 | Remaining time  0.63 hours
Episode    3 | Return -1454.897 | Updates  200 | Remaining time  0.63 hours
Episode    4 | Return -1880.172 | Updates  200 | Remaining time  0.64 hours
Episode    5 | Return -1483.363 | Updates  200 | Remaining time  0.65 hours
Episode    6 | Return -1092.487 | Updates  200 | Remaining time  0.66 hours
Episode    7 | Return -1460.974 | Updates  200 | Remaining time  0.67 hours
Episode    8 | Return  -923.206 | Updates  200 | Remaining time  0.70 hours
Episode    9 | Return -1116.073 | Updates  200 | Remaining time  0.69 hours
Episode   10 | Return -1014.692 | Updates  200 | Remaining time  0.69 hours
Episode   11 | Return -1041.647 | Updates  200 | Remaining time  0.69 hours
Episode   12 | Return -1162.785 | Updates  200 | Remaining time  0.70 hours
Episode   13 | Return -1045.897 | Updates  200 | Remaining time  0.70 hours
Episode   14 | Return  -964.623 | Updates  200 | Remaining time  0.70 hours
Episode   15 | Return  -884.145 | Updates  200 | Remaining time  0.71 hours
Episode   16 | Return  -756.996 | Updates  200 | Remaining time  0.72 hours
Episode   17 | Return  -522.609 | Updates  200 | Remaining time  0.72 hours
Episode   18 | Return  -633.136 | Updates  200 | Remaining time  0.72 hours
Episode   19 | Return  -635.044 | Updates  200 | Remaining time  0.73 hours
Episode   20 | Return  -391.308 | Updates  200 | Remaining time  0.73 hours
Episode   21 | Return  -879.955 | Updates  200 | Remaining time  0.74 hours
Episode   22 | Return  -135.104 | Updates  200 | Remaining time  0.73 hours
Episode   23 | Return    -7.969 | Updates  200 | Remaining time  0.73 hours
Episode   24 | Return  -259.042 | Updates  200 | Remaining time  0.73 hours
Episode   25 | Return  -266.992 | Updates  200 | Remaining time  0.73 hours
Episode   26 | Return  -413.526 | Updates  200 | Remaining time  0.73 hours
Episode   27 | Return  -254.511 | Updates  200 | Remaining time  0.73 hours
Episode   28 | Return  -381.135 | Updates  200 | Remaining time  0.73 hours
Episode   29 | Return  -250.422 | Updates  200 | Remaining time  0.72 hours
Episode   30 | Return   -13.660 | Updates  200 | Remaining time  0.72 hours
Episode   31 | Return   -12.739 | Updates  200 | Remaining time  0.72 hours
Episode   32 | Return   -11.100 | Updates  200 | Remaining time  0.72 hours
Episode   33 | Return  -263.658 | Updates  200 | Remaining time  0.72 hours
Episode   34 | Return  -133.538 | Updates  200 | Remaining time  0.72 hours
Episode   35 | Return  -381.712 | Updates  200 | Remaining time  0.72 hours
Episode   36 | Return  -138.939 | Updates  200 | Remaining time  0.72 hours
Episode   37 | Return  -248.628 | Updates  200 | Remaining time  0.72 hours
Episode   38 | Return  -134.804 | Updates  200 | Remaining time  0.72 hours
Episode   39 | Return  -130.625 | Updates  200 | Remaining time  0.72 hours
Episode   40 | Return  -136.053 | Updates  200 | Remaining time  0.71 hours
Episode   41 | Return  -279.251 | Updates  200 | Remaining time  0.71 hours
Episode   42 | Return  -135.127 | Updates  200 | Remaining time  0.71 hours
Episode   43 | Return  -130.534 | Updates  200 | Remaining time  0.71 hours
Episode   44 | Return  -130.941 | Updates  200 | Remaining time  0.71 hours
Episode   45 | Return  -131.027 | Updates  200 | Remaining time  0.71 hours
Episode   46 | Return  -382.615 | Updates  200 | Remaining time  0.71 hours
Episode   47 | Return  -350.769 | Updates  200 | Remaining time  0.71 hours
Episode   48 | Return    -8.049 | Updates  200 | Remaining time  0.71 hours
Episode   49 | Return  -324.400 | Updates  200 | Remaining time  0.71 hours
Episode   50 | Return  -130.903 | Updates  200 | Remaining time  0.71 hours
Episode   51 | Return    -8.532 | Updates  200 | Remaining time  0.71 hours
Episode   52 | Return  -248.135 | Updates  200 | Remaining time  0.70 hours
Episode   53 | Return    -8.338 | Updates  200 | Remaining time  0.70 hours
Episode   54 | Return  -121.557 | Updates  200 | Remaining time  0.70 hours
Episode   55 | Return  -118.604 | Updates  200 | Remaining time  0.70 hours
Episode   56 | Return  -236.165 | Updates  200 | Remaining time  0.70 hours
Episode   57 | Return  -249.103 | Updates  200 | Remaining time  0.70 hours
Episode   58 | Return    -7.887 | Updates  200 | Remaining time  0.70 hours
Episode   59 | Return  -259.352 | Updates  200 | Remaining time  0.70 hours
Episode   60 | Return    -7.694 | Updates  200 | Remaining time  0.70 hours
Episode   61 | Return  -130.201 | Updates  200 | Remaining time  0.70 hours
Episode   62 | Return  -122.597 | Updates  200 | Remaining time  0.70 hours
Episode   63 | Return  -131.235 | Updates  200 | Remaining time  0.70 hours
Episode   64 | Return  -131.406 | Updates  200 | Remaining time  0.70 hours
Episode   65 | Return  -132.023 | Updates  200 | Remaining time  0.70 hours
Episode   66 | Return  -127.278 | Updates  200 | Remaining time  0.69 hours
Episode   67 | Return  -254.572 | Updates  200 | Remaining time  0.69 hours
Episode   68 | Return    -5.132 | Updates  200 | Remaining time  0.69 hours
Episode   69 | Return  -236.431 | Updates  200 | Remaining time  0.69 hours
Episode   70 | Return  -373.103 | Updates  200 | Remaining time  0.69 hours
Episode   71 | Return  -131.884 | Updates  200 | Remaining time  0.69 hours
Episode   72 | Return -1357.867 | Updates  200 | Remaining time  0.69 hours
Episode   73 | Return  -237.109 | Updates  200 | Remaining time  0.69 hours
Episode   74 | Return  -132.698 | Updates  200 | Remaining time  0.69 hours
Episode   75 | Return  -258.915 | Updates  200 | Remaining time  0.69 hours
Episode   76 | Return  -239.201 | Updates  200 | Remaining time  0.69 hours
Episode   77 | Return  -126.132 | Updates  200 | Remaining time  0.69 hours
Episode   78 | Return  -129.591 | Updates  200 | Remaining time  0.69 hours
Episode   79 | Return  -128.483 | Updates  200 | Remaining time  0.69 hours
Episode   80 | Return  -255.029 | Updates  200 | Remaining time  0.69 hours
