nohup: ignoring input
wandb: Currently logged in as: omarb (use `wandb login --relogin` to force relogin)
wandb: Tracking run with wandb version 0.12.7
wandb: Syncing run run_id=10000
wandb:  View project at https://wandb.ai/omarb/sa2c
wandb:  View run at https://wandb.ai/omarb/sa2c/runs/21reuuzh
wandb: Run data is saved locally in /home/omar/OneDrive/Documents/USU/Classes/fall_21/CS_6640/pytorch-sac-main/wandb/run-20211213_125348-21reuuzh
wandb: Run `wandb offline` to turn off syncing.

/home/omar/OneDrive/Documents/USU/Classes/fall_21/CS_6640/pytorch-sac-main/replay_buffer.py:25: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  /opt/conda/conda-bld/pytorch_1634272128894/work/torch/csrc/utils/tensor_new.cpp:201.)
  s  = torch.tensor(batch.s, dtype  = torch.float).view(batch_size, -1)
/home/omar/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/torch/autograd/__init__.py:154: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 10010). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at  /opt/conda/conda-bld/pytorch_1634272128894/work/c10/cuda/CUDAFunctions.cpp:112.)
  Variable._execution_engine.run_backward(
Episode    0 | Return -1646.991 | Updates  137 | Remaining time 27.02 hours
Episode    1 | Return -1452.829 | Updates  200 | Remaining time 30.71 hours
Episode    2 | Return -1800.907 | Updates  200 | Remaining time 32.19 hours
Episode    3 | Return -1604.421 | Updates  200 | Remaining time 34.38 hours
Episode    4 | Return -1529.413 | Updates  200 | Remaining time 34.95 hours
Episode    5 | Return -1513.119 | Updates  200 | Remaining time 35.38 hours
Episode    6 | Return -1480.236 | Updates  200 | Remaining time 35.78 hours
Episode    7 | Return -1415.663 | Updates  200 | Remaining time 36.27 hours
Episode    8 | Return -1366.047 | Updates  200 | Remaining time 36.95 hours
Episode    9 | Return -1441.474 | Updates  200 | Remaining time 37.56 hours
Episode   10 | Return -1376.880 | Updates  200 | Remaining time 37.99 hours
Episode   11 | Return -1299.864 | Updates  200 | Remaining time 38.15 hours
Episode   12 | Return -1319.330 | Updates  200 | Remaining time 38.27 hours
Episode   13 | Return -1227.646 | Updates  200 | Remaining time 38.70 hours
Episode   14 | Return -1182.915 | Updates  200 | Remaining time 39.04 hours
Episode   15 | Return -1074.953 | Updates  200 | Remaining time 39.28 hours
Episode   16 | Return  -977.566 | Updates  200 | Remaining time 39.32 hours
Episode   17 | Return  -994.441 | Updates  200 | Remaining time 39.38 hours
Episode   18 | Return -1227.289 | Updates  200 | Remaining time 39.62 hours
Episode   19 | Return -1054.815 | Updates  200 | Remaining time 39.72 hours
Episode   20 | Return  -893.121 | Updates  200 | Remaining time 39.73 hours
Episode   21 | Return  -903.466 | Updates  200 | Remaining time 39.82 hours
Episode   22 | Return  -832.726 | Updates  200 | Remaining time 40.01 hours
Episode   23 | Return -1205.965 | Updates  200 | Remaining time 40.15 hours
Episode   24 | Return -1039.114 | Updates  200 | Remaining time 40.23 hours
Episode   25 | Return -1212.308 | Updates  200 | Remaining time 40.20 hours
Episode   26 | Return -1210.837 | Updates  200 | Remaining time 40.18 hours
Episode   27 | Return  -924.815 | Updates  200 | Remaining time 40.18 hours
Episode   28 | Return  -878.350 | Updates  200 | Remaining time 40.18 hours
Episode   29 | Return -1167.984 | Updates  200 | Remaining time 40.20 hours
Episode   30 | Return  -921.868 | Updates  200 | Remaining time 40.24 hours
Episode   31 | Return  -890.657 | Updates  200 | Remaining time 40.26 hours
Episode   32 | Return  -515.635 | Updates  200 | Remaining time 40.36 hours
Episode   33 | Return  -998.810 | Updates  200 | Remaining time 40.44 hours
Episode   34 | Return  -978.144 | Updates  200 | Remaining time 40.50 hours
Episode   35 | Return  -944.277 | Updates  200 | Remaining time 40.68 hours
Episode   36 | Return  -869.095 | Updates  200 | Remaining time 40.76 hours
Episode   37 | Return  -918.284 | Updates  200 | Remaining time 40.80 hours
Episode   38 | Return  -845.128 | Updates  200 | Remaining time 40.85 hours
Episode   39 | Return  -770.850 | Updates  200 | Remaining time 40.94 hours
Episode   40 | Return  -383.000 | Updates  200 | Remaining time 41.01 hours
Episode   41 | Return -1011.996 | Updates  200 | Remaining time 41.05 hours
Episode   42 | Return  -957.160 | Updates  200 | Remaining time 41.09 hours
Episode   43 | Return  -412.996 | Updates  200 | Remaining time 41.18 hours
Episode   44 | Return  -984.207 | Updates  200 | Remaining time 41.21 hours
Episode   45 | Return  -689.856 | Updates  200 | Remaining time 41.33 hours
Episode   46 | Return  -142.640 | Updates  200 | Remaining time 41.38 hours
Episode   47 | Return  -138.432 | Updates  200 | Remaining time 41.47 hours
Episode   48 | Return  -141.061 | Updates  200 | Remaining time 41.44 hours
Episode   49 | Return   -17.376 | Updates  200 | Remaining time 41.43 hours
Episode   50 | Return  -141.724 | Updates  200 | Remaining time 41.42 hours
Episode   51 | Return  -129.913 | Updates  200 | Remaining time 41.39 hours
Episode   52 | Return  -140.355 | Updates  200 | Remaining time 41.39 hours
Episode   53 | Return  -261.387 | Updates  200 | Remaining time 41.49 hours
Episode   54 | Return  -135.569 | Updates  200 | Remaining time 41.46 hours
Episode   55 | Return  -139.282 | Updates  200 | Remaining time 41.44 hours
Episode   56 | Return  -381.012 | Updates  200 | Remaining time 41.46 hours
Episode   57 | Return  -140.166 | Updates  200 | Remaining time 41.44 hours
Episode   58 | Return  -367.786 | Updates  200 | Remaining time 41.47 hours
Episode   59 | Return  -253.730 | Updates  200 | Remaining time 41.55 hours
Episode   60 | Return  -142.790 | Updates  200 | Remaining time 41.58 hours
Episode   61 | Return  -137.572 | Updates  200 | Remaining time 41.56 hours
Episode   62 | Return  -132.850 | Updates  200 | Remaining time 41.59 hours
Episode   63 | Return  -125.759 | Updates  200 | Remaining time 41.58 hours
Episode   64 | Return  -235.553 | Updates  200 | Remaining time 41.56 hours
Episode   65 | Return  -130.755 | Updates  200 | Remaining time 41.52 hours
Episode   66 | Return  -389.323 | Updates  200 | Remaining time 41.48 hours
Episode   67 | Return  -357.613 | Updates  200 | Remaining time 41.50 hours
Episode   68 | Return  -135.105 | Updates  200 | Remaining time 41.53 hours
Episode   69 | Return  -333.718 | Updates  200 | Remaining time 41.58 hours
Episode   70 | Return  -246.525 | Updates  200 | Remaining time 41.61 hours
Episode   71 | Return  -135.389 | Updates  200 | Remaining time 41.71 hours
Episode   72 | Return  -126.014 | Updates  200 | Remaining time 41.72 hours
Episode   73 | Return   -10.774 | Updates  200 | Remaining time 41.80 hours
Episode   74 | Return   -11.691 | Updates  200 | Remaining time 41.81 hours
Episode   75 | Return  -248.432 | Updates  200 | Remaining time 41.84 hours
Episode   76 | Return  -126.258 | Updates  200 | Remaining time 41.92 hours
Episode   77 | Return  -122.698 | Updates  200 | Remaining time 41.90 hours
Episode   78 | Return  -244.680 | Updates  200 | Remaining time 41.94 hours
Episode   79 | Return  -129.734 | Updates  200 | Remaining time 41.93 hours
Episode   80 | Return  -237.938 | Updates  200 | Remaining time 41.92 hours
Episode   81 | Return  -232.623 | Updates  200 | Remaining time 41.94 hours
Episode   82 | Return  -124.759 | Updates  200 | Remaining time 41.94 hours
Episode   83 | Return  -117.265 | Updates  200 | Remaining time 41.98 hours
Episode   84 | Return  -128.295 | Updates  200 | Remaining time 42.02 hours
Episode   85 | Return  -382.627 | Updates  200 | Remaining time 42.07 hours
Episode   86 | Return  -129.906 | Updates  200 | Remaining time 42.10 hours
