nohup: ignoring input
wandb: Currently logged in as: omarb (use `wandb login --relogin` to force relogin)
wandb: Tracking run with wandb version 0.12.7
wandb: Syncing run run_id=5000
wandb:  View project at https://wandb.ai/omarb/sa2c
wandb:  View run at https://wandb.ai/omarb/sa2c/runs/3317pa9k
wandb: Run data is saved locally in /home/omar/OneDrive/Documents/USU/Classes/fall_21/CS_6640/pytorch-sac-main/wandb/run-20211214_134615-3317pa9k
wandb: Run `wandb offline` to turn off syncing.

/home/omar/OneDrive/Documents/USU/Classes/fall_21/CS_6640/pytorch-sac-main/replay_buffer.py:25: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  /opt/conda/conda-bld/pytorch_1634272128894/work/torch/csrc/utils/tensor_new.cpp:201.)
  s  = torch.tensor(batch.s, dtype  = torch.float).view(batch_size, -1)
/home/omar/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/torch/autograd/__init__.py:154: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 10010). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at  /opt/conda/conda-bld/pytorch_1634272128894/work/c10/cuda/CUDAFunctions.cpp:112.)
  Variable._execution_engine.run_backward(
Episode    0 | Return -1565.777 | Updates  137 | Remaining time  6.75 hours
Episode    1 | Return -1083.254 | Updates  200 | Remaining time  9.63 hours
/home/omar/anaconda3/envs/decision-transformer-gym/lib/python3.8/multiprocessing/resource_tracker.py:216: UserWarning: resource_tracker: There appear to be 6 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '
pdates  200 | Remaining time  9.37 hours
Episode    6 | Return -1442.474 | Updates  200 | Remaining time  9.15 hours
Episode    7 | Return -1489.552 | Updates  200 | Remaining time  9.20 hours
Episode    8 | Return -1227.688 | Updates  200 | Remaining time  9.24 hours
Episode    9 | Return -1152.447 | Updates  200 | Remaining time  9.24 hours
Episode   10 | Return -1145.163 | Updates  200 | Remaining time  8.80 hours
Episode   11 | Return -1113.168 | Updates  200 | Remaining time  8.43 hours
Episode   12 | Return -1066.650 | Updates  200 | Remaining time  8.14 hours
Episode   13 | Return  -893.880 | Updates  200 | Remaining time  7.91 hours
Episode   14 | Return  -991.122 | Updates  200 | Remaining time  7.74 hours
Episode   15 | Return  -766.840 | Updates  200 | Remaining time  7.58 hours
Episode   16 | Return  -665.593 | Updates  200 | Remaining time  7.46 hours
Episode   17 | Return  -874.937 | Updates  200 | Remaining time  7.34 hours
Episode   18 | Return  -758.093 | Updates  200 | Remaining time  7.20 hours
Episode   19 | Return  -769.048 | Updates  200 | Remaining time  7.08 hours
Episode   20 | Return  -955.433 | Updates  200 | Remaining time  6.96 hours
Episode   21 | Return -1017.471 | Updates  200 | Remaining time  6.87 hours
Episode   22 | Return  -780.236 | Updates  200 | Remaining time  6.77 hours
Episode   23 | Return  -776.021 | Updates  200 | Remaining time  6.70 hours
Episode   24 | Return  -392.641 | Updates  200 | Remaining time  6.64 hours
Episode   25 | Return  -624.045 | Updates  200 | Remaining time  6.59 hours
Episode   26 | Return  -746.143 | Updates  200 | Remaining time  6.54 hours
Episode   27 | Return  -383.365 | Updates  200 | Remaining time  6.48 hours
Episode   28 | Return  -254.584 | Updates  200 | Remaining time  6.43 hours
Episode   29 | Return  -128.462 | Updates  200 | Remaining time  6.39 hours
Episode   30 | Return  -128.392 | Updates  200 | Remaining time  6.36 hours
Episode   31 | Return  -128.483 | Updates  200 | Remaining time  6.34 hours
Episode   32 | Return    -3.076 | Updates  200 | Remaining time  6.34 hours
Episode   33 | Return  -127.364 | Updates  200 | Remaining time  6.32 hours
Episode   34 | Return    -1.242 | Updates  200 | Remaining time  6.33 hours
Episode   35 | Return  -373.721 | Updates  200 | Remaining time  6.31 hours
Episode   36 | Return  -129.229 | Updates  200 | Remaining time  6.29 hours
Episode   37 | Return  -328.856 | Updates  200 | Remaining time  6.27 hours
Episode   38 | Return  -126.902 | Updates  200 | Remaining time  6.24 hours
Episode   39 | Return  -127.527 | Updates  200 | Remaining time  6.20 hours
Episode   40 | Return  -237.878 | Updates  200 | Remaining time  6.17 hours
Episode   41 | Return  -333.899 | Updates  200 | Remaining time  6.13 hours
Episode   42 | Return  -119.234 | Updates  200 | Remaining time  6.09 hours
Episode   43 | Return  -126.496 | Updates  200 | Remaining time  6.06 hours
Episode   44 | Return  -121.607 | Updates  200 | Remaining time  6.05 hours
Episode   45 | Return  -235.692 | Updates  200 | Remaining time  6.02 hours
Episode   46 | Return  -127.611 | Updates  200 | Remaining time  5.99 hours
Episode   47 | Return    -2.381 | Updates  200 | Remaining time  5.97 hours
Episode   48 | Return  -118.287 | Updates  200 | Remaining time  5.95 hours
Episode   49 | Return  -123.737 | Updates  200 | Remaining time  5.94 hours
Episode   50 | Return  -123.880 | Updates  200 | Remaining time  5.91 hours
Episode   51 | Return  -251.200 | Updates  200 | Remaining time  5.89 hours
Episode   52 | Return  -129.964 | Updates  200 | Remaining time  5.86 hours
Episode   53 | Return    -4.438 | Updates  200 | Remaining time  5.84 hours
Episode   54 | Return  -356.860 | Updates  200 | Remaining time  5.82 hours
Episode   55 | Return  -118.288 | Updates  200 | Remaining time  5.80 hours
Episode   56 | Return  -236.493 | Updates  200 | Remaining time  5.77 hours
Episode   57 | Return  -350.681 | Updates  200 | Remaining time  5.76 hours
Episode   58 | Return  -125.941 | Updates  200 | Remaining time  5.74 hours
Episode   59 | Return  -115.698 | Updates  200 | Remaining time  5.72 hours
Episode   60 | Return    -6.372 | Updates  200 | Remaining time  5.70 hours
Episode   61 | Return  -129.861 | Updates  200 | Remaining time  5.69 hours
Episode   62 | Return  -238.468 | Updates  200 | Remaining time  5.67 hours
Episode   63 | Return  -251.893 | Updates  200 | Remaining time  5.65 hours
Episode   64 | Return  -125.274 | Updates  200 | Remaining time  5.64 hours
Episode   65 | Return  -129.930 | Updates  200 | Remaining time  5.63 hours
Episode   66 | Return  -116.638 | Updates  200 | Remaining time  5.62 hours
Episode   67 | Return  -122.378 | Updates  200 | Remaining time  5.60 hours
Episode   68 | Return  -119.165 | Updates  200 | Remaining time  5.58 hours
Episode   69 | Return  -124.105 | Updates  200 | Remaining time  5.57 hours
Episode   70 | Return    -3.451 | Updates  200 | Remaining time  5.55 hours
Episode   71 | Return    -4.552 | Updates  200 | Remaining time  5.54 hours
Episode   72 | Return  -128.839 | Updates  200 | Remaining time  5.54 hours
Episode   73 | Return  -353.476 | Updates  200 | Remaining time  5.52 hours
Episode   74 | Return  -126.612 | Updates  200 | Remaining time  5.52 hours
Episode   75 | Return    -7.173 | Updates  200 | Remaining time  5.50 hours
Episode   76 | Return    -9.159 | Updates  200 | Remaining time  5.49 hours
Episode   77 | Return  -126.491 | Updates  200 | Remaining time  5.48 hours
Episode   78 | Return   -11.419 | Updates  200 | Remaining time  5.46 hours
Episode   79 | Return  -247.561 | Updates  200 | Remaining time  5.45 hours
Episode   80 | Return  -128.305 | Updates  200 | Remaining time  5.45 hours
Episode   81 | Return  -232.702 | Updates  200 | Remaining time  5.44 hours
Episode   82 | Return  -131.094 | Updates  200 | Remaining time  5.43 hours
Episode   83 | Return  -247.873 | Updates  200 | Remaining time  5.42 hours
Episode   84 | Return  -129.648 | Updates  200 | Remaining time  5.41 hours
Episode   85 | Return  -127.778 | Updates  200 | Remaining time  5.40 hours
Episode   86 | Return  -127.319 | Updates  200 | Remaining time  5.38 hours
Episode   87 | Return  -246.763 | Updates  200 | Remaining time  5.37 hours
Episode   88 | Return  -238.160 | Updates  200 | Remaining time  5.36 hours
Episode   89 | Return  -250.626 | Updates  200 | Remaining time  5.35 hours
Episode   90 | Return  -249.165 | Updates  200 | Remaining time  5.34 hours
Episode   91 | Return  -236.577 | Updates  200 | Remaining time  5.33 hours
Episode   92 | Return  -231.702 | Updates  200 | Remaining time  5.32 hours
Episode   93 | Return  -131.931 | Updates  200 | Remaining time  5.31 hours
Episode   94 | Return  -245.706 | Updates  200 | Remaining time  5.30 hours
Episode   95 | Return  -131.673 | Updates  200 | Remaining time  5.30 hours
Episode   96 | Return  -253.647 | Updates  200 | Remaining time  5.29 hours
Episode   97 | Return  -247.219 | Updates  200 | Remaining time  5.29 hours
Episode   98 | Return   -13.761 | Updates  200 | Remaining time  5.28 hours
Episode   99 | Return  -135.977 | Updates  200 | Remaining time  5.28 hours
Episode  100 | Return  -253.417 | Updates  200 | Remaining time  5.28 hours
Episode  101 | Return   -10.680 | Updates  200 | Remaining time  5.27 hours
Episode  102 | Return  -125.052 | Updates  200 | Remaining time  5.27 hours
Episode  103 | Return  -124.702 | Updates  200 | Remaining time  5.26 hours
Episode  104 | Return  -123.426 | Updates  200 | Remaining time  5.26 hours
Episode  105 | Return  -245.570 | Updates  200 | Remaining time  5.26 hours
